SourceText,text,type,note
There are no bad children...only difficult behaviours! All children misbehave but these tips can help,There are no bad children...only difficult behaviours! All children misbehave but these tips can help,text,
Which child do you want tips for?,Which child do you want tips for?,text,
"Sorry, I don't understand what you mean.","Sorry, I don't understand what you mean.",text,
Please select the age of your child:,Please select the age of your child:,text,
A. Under 1 month,A. Under 1 month,text,
B. 1-2 months,B. 1-2 months,text,
C. 3-5 months,C. 3-5 months,text,
D. 6-9 months,D. 6-9 months,text,
E. 10 -14 months,E. 10 -14 months,text,
F. 15-18 months,F. 15-18 months,text,
G. 19-23 months,G. 19-23 months,text,
Which behaviour is most like the one you want support for?,Which behaviour is most like the one you want support for?,text,
Here are 8 simple tips to help you with your teen: ,Here are 8 simple tips to help you with your teen: ,text,
1. Keep it positive,1. Keep it positive,text,
2. Invest in time,2. Invest in time,text,
3. Create routines,3. Create routines,text,
4. Be open to your children,4. Be open to your children,text,
5. Use reasonable consequences,5. Use reasonable consequences,text,
6. Solve problems with your teen,6. Solve problems with your teen,text,
7. Keeping your teen safe online,7. Keeping your teen safe online,text,
8. Resolving crises when they happen,8. Resolving crises when they happen,text,
"Type ""1"" to ""8"" if you want to learn more about a specific strategy.","Type ""1"" to ""8"" if you want to learn more about a specific strategy.",text,
Here are 5 simple tips to help you with your babies: ,Here are 5 simple tips to help you with your babies: ,text,
1. Play with your baby,1. Play with your baby,text,
2. Create routines,2. Create routines,text,
3. Share books with your baby,3. Share books with your baby,text,
4. Cope with crying,4. Cope with crying,text,
5. Redirect them to positive behaviours,5. Redirect them to positive behaviours,text,
"Type ""1"" to ""5"" if you want to learn more about a specific strategy.","Type ""1"" to ""5"" if you want to learn more about a specific strategy.",text,
Here are 9 simple tips to help you with your children: ,Here are 9 simple tips to help you with your children: ,text,
6. Ignore attention seeking and demanding behaviours,6. Ignore attention seeking and demanding behaviours,text,
7. Use reasonable consequences,7. Use reasonable consequences,text,
8. Solving problems with your child,8. Solving problems with your child,text,
9. Keeping your child safe online,9. Keeping your child safe online,text,
"Type ""1"" to ""9"" if you want to learn more about a specific strategy.","Type ""1"" to ""9"" if you want to learn more about a specific strategy.",text,
"It can be exhausting when your children have too much energy or can't focus on one thing. Sometimes, your children need opportunities to be very active and run around to help them be calm afterwards. ","It can be exhausting when your children have too much energy or can't focus on one thing. Sometimes, your children need opportunities to be very active and run around to help them be calm afterwards. ",text,
Would you like suggestions for active and calm things to do with your child?,Would you like suggestions for active and calm things to do with your child?,text,
"Sorry, I don't understand what you mean. ","Sorry, I don't understand what you mean. ",text,
"That's okay! You can always type ""Help"" if you want to receive more tips about how to manage your child's behaviour.","That's okay! You can always type ""Help"" if you want to receive more tips about how to manage your child's behaviour.",text,
